repo_name,repo_owner,git_url,api_base_url,source_type
MvcMailer,smsohan,git://github.com/smsohan/MvcMailer.git,http://api.github.com,github_repo
Pyrus,pyrus,git://github.com/pyrus/Pyrus.git,http://api.github.com,github_repo
Cloudflare-CPanel,cloudflare,git://github.com/cloudflare/Cloudflare-CPanel.git,http://api.github.com,github_repo
omegaup,omegaup,git://github.com/omegaup/omegaup.git,http://api.github.com,github_repo
modeshape,ModeShape,git://github.com/ModeShape/modeshape.git,http://api.github.com,github_repo
panojs,dimin,git://github.com/dimin/panojs.git,http://api.github.com,github_repo
clack,fukamachi,git://github.com/fukamachi/clack.git,http://api.github.com,github_repo
salat,salat,git://github.com/salat/salat.git,http://api.github.com,github_repo
jelly,creatoro,git://github.com/creatoro/jelly.git,http://api.github.com,github_repo
silverstripe-userforms,silverstripe,git://github.com/silverstripe/silverstripe-userforms.git,http://api.github.com,github_repo
coweb,opencoweb,git://github.com/opencoweb/coweb.git,http://api.github.com,github_repo
tinc,gsliepen,git://github.com/gsliepen/tinc.git,http://api.github.com,github_repo
websockify,novnc,git://github.com/novnc/websockify.git,http://api.github.com,github_repo
magento-connector,mulesoft,git://github.com/mulesoft/magento-connector.git,http://api.github.com,github_repo
awesim,saroele,git://github.com/saroele/awesim.git,http://api.github.com,github_repo
cfwheels,cfwheels,git://github.com/cfwheels/cfwheels.git,http://api.github.com,github_repo
klib,attractivechaos,git://github.com/attractivechaos/klib.git,http://api.github.com,github_repo
WWW-Mechanize,libwww-perl,git://github.com/libwww-perl/WWW-Mechanize.git,http://api.github.com,github_repo
railsinstaller-windows,railsinstaller,git://github.com/railsinstaller/railsinstaller-windows.git,http://api.github.com,github_repo
hashable,tibbe,git://github.com/tibbe/hashable.git,http://api.github.com,github_repo
quimby,groupme,git://github.com/groupme/quimby.git,http://api.github.com,github_repo
reptyr,nelhage,git://github.com/nelhage/reptyr.git,http://api.github.com,github_repo
pycollada,pycollada,git://github.com/pycollada/pycollada.git,http://api.github.com,github_repo
TFTLCD-Library,adafruit,git://github.com/adafruit/TFTLCD-Library.git,http://api.github.com,github_repo
